participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds,strategy
"1","gb5165","RSTUVWX","RSTUVWX","7","7","1","3","RUN","3.489","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","WGLDTXV","WGLDTXV","7","7","1","0","RANDOM","2.739","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","3.471","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","2.634","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","YTQBFNJ","YTQBFNJ","7","7","1","0","RANDOM","2.943","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","3.633","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.723","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","NJQHZBM","NJQHJZH","4","7","0.5714285714285714","0","RANDOM","6.825","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","ABCDEFG","ABCDEFG","7","7","1","3","RUN","2.903","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","HXJKQTV","HXJKTQV","5","7","0.7142857142857143","0","RANDOM","5.523","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","MNOPNM","MNOPNM","6","6","1","0","RANDOM","2.021","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","3.074","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","ABABABA","ABBABA","2","7","0.2857142857142857","3","REPEAT","4.749","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","DLHGWXS","DLG","2","7","0.2857142857142857","0","RANDOM","10.002","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","GHGHGHG","GH","2","7","0.2857142857142857","3","REPEAT","10.002","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","QZTRPNL","QZTRPN","6","7","0.8571428571428571","0","RANDOM","4.783","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","BDFHJLK","BDFHJKN","5","7","0.7142857142857143","0","RANDOM","4.28","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","2.273","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","CMFGLQT","CMFGQLT","5","7","0.7142857142857143","0","RANDOM","5.065","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","CDEFGED","CDEFGED","7","7","1","0","RANDOM","2.899","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","MWRQZTA","MWRQZA","5","7","0.7142857142857143","0","RANDOM","2.696","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","SPKFDLR","SPKFLDR","5","7","0.7142857142857143","0","RANDOM","4.624","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","XBFNQJT","XBFNJQT","5","7","0.7142857142857143","0","RANDOM","5.349","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","3.243","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","RLVTXPW","RLVTWXN","4","7","0.5714285714285714","0","RANDOM","6.33","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.891","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","HIJKLMN","HIJKLMN","7","7","1","3","RUN","3.923","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","FNBJQSK","FNDJQSK","6","7","0.8571428571428571","0","RANDOM","3.289","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","XYZYZYX","XYZYXZZ","4","7","0.5714285714285714","3","MIRROR","7.236","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","ZPCMKHR","ZPCMHNR","5","7","0.7142857142857143","0","RANDOM","5.204","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","KVMPZRC","KVMPZR","6","7","0.8571428571428571","0","RANDOM","3.216","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
"1","gb5165","HRCMPZL","HRCMPZL","7","7","1","0","RANDOM","4.715","When there was a pattern or order to the letters, I focused on recalling that, but otherwise I tried to sound out a word or phrase with letters and repeat that. "
